Date,Index
30-Mar-20,2488.65
6-Apr-20,2789.82
13-Apr-20,2874.56
20-Apr-20,2836.74
27-Apr-20,2830.71
4-May-20,2929.8
11-May-20,2863.7
18-May-20,2955.45
25-May-20,3044.31
1-Jun-20,3193.93
8-Jun-20,3041.31
15-Jun-20,3097.74
22-Jun-20,3009.05
29-Jun-20,3130.01
6-Jul-20,3185.04
13-Jul-20,3224.73
20-Jul-20,3215.63
27-Jul-20,3271.12
3-Aug-20,3351.28
10-Aug-20,3372.85
17-Aug-20,3397.16
24-Aug-20,3508.01
31-Aug-20,3426.96
7-Sep-20,3340.97
14-Sep-20,3319.47
21-Sep-20,3298.46
28-Sep-20,3348.42
5-Oct-20,3477.14
12-Oct-20,3483.81
19-Oct-20,3465.39
26-Oct-20,3269.96
2-Nov-20,3509.44
9-Nov-20,3585.15
16-Nov-20,3557.54
23-Nov-20,3638.35
30-Nov-20,3699.12
7-Dec-20,3663.46
14-Dec-20,3709.41
21-Dec-20,3703.06
28-Dec-20,3756.07
4-Jan-21,3824.68
11-Jan-21,3768.25
18-Jan-21,3841.47
25-Jan-21,3714.24
1-Feb-21,3886.83
8-Feb-21,3934.83
15-Feb-21,3906.71
22-Feb-21,3811.15
1-Mar-21,3841.94
8-Mar-21,3943.34
15-Mar-21,3913.1
22-Mar-21,3974.54
29-Mar-21,4019.87
5-Apr-21,4128.8
12-Apr-21,4185.47
19-Apr-21,4180.17
26-Apr-21,4181.17
3-May-21,4232.6
10-May-21,4173.85
17-May-21,4155.86
24-May-21,4204.11
31-May-21,4229.89
7-Jun-21,4247.44
14-Jun-21,4166.45
21-Jun-21,4280.7
28-Jun-21,4291.8
